Date/Time,roomTemp (deg C),defroStat,compStat,evapStat
23-04-2024 10:57,-8.9,OFF,ON,ON
23-04-2024 11:26,-9.5,OFF,ON,ON
23-04-2024 11:55,-9.6,OFF,ON,ON
23-04-2024 12:24,-13.2,OFF,ON,ON
23-04-2024 12:53,-12.5,OFF,ON,ON
23-04-2024 13:02,-13.1,OFF,ON,ON
23-04-2024 13:13,-13.5,ON,OFF,OFF
23-04-2024 19:32,11.2,OFF,OFF,OFF
23-04-2024 19:33,11.2,OFF,ON,ON
23-04-2024 19:37,9.9,OFF,OFF,OFF
23-04-2024 19:39,5.7,OFF,OFF,OFF
23-04-2024 20:08,-3.7,OFF,ON,ON
23-04-2024 20:37,-7.4,OFF,ON,ON
23-04-2024 21:06,-9.9,OFF,ON,ON
23-04-2024 21:37,-12.2,OFF,ON,ON
23-04-2024 22:06,-13.8,OFF,ON,ON
23-04-2024 22:35,-15.2,OFF,ON,ON
23-04-2024 22:39,-15.4,ON,OFF,OFF
23-04-2024 22:59,5.7,OFF,OFF,OFF
23-04-2024 23:09,-0.1,OFF,ON,ON
23-04-2024 23:38,-13.5,OFF,ON,ON
24-04-2024 00:07,-15.8,OFF,ON,ON
24-04-2024 00:36,-16.8,OFF,ON,ON
24-04-2024 01:05,-17.6,OFF,ON,ON
24-04-2024 01:34,-18.2,OFF,ON,ON
24-04-2024 01:59,11.6,OFF,OFF,OFF
24-04-2024 02:28,-14.1,OFF,ON,ON
24-04-2024 02:57,-17,OFF,ON,ON
24-04-2024 03:26,-18.4,OFF,ON,ON
24-04-2024 03:55,-19.2,OFF,ON,ON
24-04-2024 04:24,-19.9,OFF,ON,ON
24-04-2024 04:39,-19.6,ON,OFF,OFF
24-04-2024 05:28,-8.7,OFF,ON,ON
24-04-2024 05:57,-12.3,OFF,ON,ON
24-04-2024 06:26,-8.3,OFF,ON,ON
24-04-2024 06:55,-6.9,OFF,ON,ON
24-04-2024 07:24,-9.1,OFF,ON,ON
24-04-2024 07:53,0.6,ON,OFF,OFF
24-04-2024 08:09,1.9,OFF,ON,ON
24-04-2024 08:38,-9.4,OFF,ON,ON
24-04-2024 09:07,-12.5,OFF,ON,ON
24-04-2024 09:36,-14.2,OFF,ON,ON
24-04-2024 10:19,-6,OFF,OFF,OFF
24-04-2024 11:17,-15,OFF,ON,ON
24-04-2024 11:46,-15.9,OFF,ON,ON
24-04-2024 12:15,-16.5,OFF,ON,ON
24-04-2024 12:44,-17,OFF,ON,ON
24-04-2024 13:13,-17.5,OFF,ON,ON
24-04-2024 13:19,-17.6,ON,OFF,OFF
24-04-2024 13:48,1.1,OFF,ON,OFF
24-04-2024 14:17,-15.5,OFF,ON,ON
24-04-2024 14:46,-16.8,OFF,ON,ON
24-04-2024 15:15,-17.1,OFF,ON,ON
24-04-2024 15:44,-18,OFF,ON,ON
24-04-2024 16:13,-18.4,OFF,ON,ON
24-04-2024 16:39,10.7,OFF,OFF,OFF
24-04-2024 17:08,-15,OFF,ON,ON
24-04-2024 17:37,-17.2,OFF,ON,ON
24-04-2024 18:06,-17.7,OFF,ON,ON
24-04-2024 18:35,-17.6,OFF,ON,ON
24-04-2024 19:04,-18.6,OFF,ON,ON
24-04-2024 19:18,-19.1,ON,OFF,OFF
24-04-2024 19:47,4.9,OFF,ON,OFF
24-04-2024 20:16,-14.2,OFF,ON,ON
24-04-2024 20:45,-15.2,OFF,ON,ON
24-04-2024 21:14,-17.1,OFF,ON,ON
24-04-2024 21:43,-17.9,OFF,ON,ON
24-04-2024 22:12,-18.6,OFF,ON,ON
24-04-2024 22:18,-18.7,ON,OFF,OFF
24-04-2024 22:47,5.2,OFF,ON,OFF
24-04-2024 23:16,-15.9,OFF,ON,ON
24-04-2024 23:45,-17.6,OFF,ON,ON
25-04-2024 00:14,-18.6,OFF,ON,ON
25-04-2024 00:43,-19.1,OFF,ON,ON
25-04-2024 01:12,-19,OFF,ON,ON
25-04-2024 01:18,-19.3,ON,OFF,OFF
25-04-2024 01:47,4.9,OFF,ON,OFF
25-04-2024 01:48,-0.4,OFF,ON,ON
25-04-2024 02:17,-16.4,OFF,ON,ON
25-04-2024 02:46,-18,OFF,ON,ON
25-04-2024 03:15,-19,OFF,ON,ON
25-04-2024 03:44,-19.3,OFF,ON,ON
25-04-2024 04:13,-19.9,OFF,ON,ON
25-04-2024 04:38,12.4,OFF,OFF,OFF
25-04-2024 04:48,1,OFF,ON,ON
25-04-2024 05:17,-16.6,OFF,ON,ON
25-04-2024 05:46,-18.2,OFF,ON,ON
25-04-2024 06:15,-19.2,OFF,ON,ON
25-04-2024 06:44,-11.3,OFF,ON,ON
25-04-2024 07:13,-8.4,OFF,ON,ON
25-04-2024 07:18,-8.1,ON,OFF,OFF
25-04-2024 07:38,15,OFF,OFF,OFF
25-04-2024 08:07,-5,OFF,ON,ON
25-04-2024 08:36,-7.2,OFF,ON,ON
25-04-2024 09:05,-10.6,OFF,ON,ON
25-04-2024 09:34,-12.8,OFF,ON,ON
25-04-2024 10:03,-13.9,OFF,ON,ON
25-04-2024 10:18,-14.9,ON,OFF,OFF
25-04-2024 10:38,9.7,OFF,OFF,OFF
25-04-2024 10:48,0.3,OFF,ON,ON
25-04-2024 11:17,-12.6,OFF,ON,ON
25-04-2024 11:46,-11.6,OFF,ON,ON
25-04-2024 12:11,-14.9,OFF,ON,ON
25-04-2024 12:40,-16.5,OFF,ON,ON
25-04-2024 13:09,-17.5,OFF,ON,ON
25-04-2024 13:17,-17.8,ON,OFF,OFF
